Målt (starttid),CO,NO2,NOX,SO2,O3,PM10,PM2.5
16-10-2024 07:00,"0,26","37,5","61,0","0,78","36,2","25,7","8,7"
16-10-2024 06:00,"0,29","48,2","72,9","0,80","30,3","27,7","10,9"
16-10-2024 05:00,"0,29","56,7","102,0","0,83","16,8","27,2","9,4"
16-10-2024 04:00,"0,22","30,8","43,2","0,47","37,4","15,1","6,7"
16-10-2024 03:00,"0,17","11,9","13,8","0,31","52,8","5,6","5,8"
16-10-2024 02:00,"0,18","12,5","13,2","0,24","47,5","12,2","9,0"
16-10-2024 01:00,"0,25","20,0","28,9","0,31","25,3","12,6","7,3"
16-10-2024 00:00,"0,26","25,2","37,6","1,1","21,2","7,4","7,6"
15-10-2024 23:00,"0,31","31,9","49,5","0,87","15,8","15,2","8,3"
15-10-2024 22:00,"0,42","37,9","66,8","0,99","15,4","22,1","12,8"
15-10-2024 21:00,"0,42","50,0","100,7","1,5","12,1","23,9","14,0"
15-10-2024 20:00,"0,42","47,9","93,6","1,4","19,5","19,0","17,7"
15-10-2024 19:00,"0,55","59,5","128,5","1,7","10,9","32,0","27,7"
15-10-2024 18:00,"0,45","54,2","106,4","1,5","17,0","24,5","10,5"
15-10-2024 17:00,"0,45","49,5","99,1","1,1","20,7","24,0","10,5"
15-10-2024 16:00,"0,39","47,2","100,5","1,4","26,4","21,5","8,8"
15-10-2024 15:00,"0,35","31,6","63,6","1,1","38,6","18,1","8,0"
15-10-2024 14:00,"0,28","25,2","55,2","0,91","44,1","17,1","8,8"
15-10-2024 13:00,"0,25","23,6","54,3","0,99","44,4","18,8","11,6"
15-10-2024 12:00,"0,28","24,0","51,3","1,0","44,0","20,4","11,4"
15-10-2024 11:00,"0,24","25,3","54,9","1,3","43,1","26,8","12,6"
15-10-2024 10:00,"0,23","35,3","75,6","1,2","40,2","19,6","7,3"
15-10-2024 09:00,"0,26","29,2","64,1","0,54","30,1","30,7","8,2"
15-10-2024 08:00,"0,27","32,2","72,4","1,0","22,8","32,6","6,5"
15-10-2024 07:00,"0,33","43,2","88,6","1,1","18,0","31,7","3,5"
