MeanValueType;StartUtc;EndUtc;PM2_5;PM10;PN;NO;NO2;NO2_Microgram;NOx;BC;BC_FF;BC_WB;RH;WD;WS;Temp;PM2_5Index;PM10Index;NO2Index;CphIndex
"1H";"2023-10-14T22:00:00Z";"2023-10-14T23:00:00Z";"3.7";"4.6";"1242";"2";"1.5";"2.8";"3.5";"0";"0";"0";"76.5";"264";"6.8";"9";"A";"A";"A";"A"
"1H";"2023-10-14T23:00:00Z";"2023-10-15T00:00:00Z";"3.7";"4.8";"701";"1.2";"0.5";"1";"1.7";"0";"0";"0";"73.4";"263";"5.8";"9.3";"A";"A";"A";"A"
"1H";"2023-10-15T00:00:00Z";"2023-10-15T01:00:00Z";"3.7";"4.8";"389";"0.7";"0.3";"0.6";"1";"0";"0";"0";"71.9";"265";"6.3";"9.2";"A";"A";"A";"A"
"1H";"2023-10-15T01:00:00Z";"2023-10-15T02:00:00Z";"3.8";"4.9";"355";"0.6";"0.2";"0.4";"0.9";"0";"0";"0";"72.2";"273";"6.5";"9.2";"A";"A";"A";"A"
"1H";"2023-10-15T02:00:00Z";"2023-10-15T03:00:00Z";"4";"5.2";"294";"0.7";"0.1";"0.2";"0.8";"0";"0";"0";"71.2";"273";"7.1";"9";"A";"A";"A";"A"
"1H";"2023-10-15T03:00:00Z";"2023-10-15T04:00:00Z";"4.4";"6";"813";"0.8";"0.3";"0.6";"1.1";"0";"0";"0";"70.9";"271";"7.1";"8.8";"A";"A";"A";"A"
"1H";"2023-10-15T04:00:00Z";"2023-10-15T05:00:00Z";"3.8";"5.3";"364";"0.9";"0.5";"0.9";"1.4";"0";"0";"0";"71";"275";"7.1";"8.8";"A";"A";"A";"A"
"1H";"2023-10-15T05:00:00Z";"2023-10-15T06:00:00Z";"3.3";"4.4";"458";"1.2";"0.7";"1.3";"1.9";"0";"0";"0";"72.2";"277";"6.4";"8.9";"A";"A";"A";"A"
"1H";"2023-10-15T06:00:00Z";"2023-10-15T07:00:00Z";"2.8";"3.6";"649";"1.6";"0.9";"1.8";"2.6";"0";"0";"0";"75.3";"276";"6.2";"8.9";"A";"A";"A";"A"
"1H";"2023-10-15T07:00:00Z";"2023-10-15T08:00:00Z";"2.8";"3.6";"836";"2.3";"1.2";"2.4";"3.5";"0";"0";"0";"76.8";"276";"6";"9.1";"A";"A";"A";"A"
"1H";"2023-10-15T08:00:00Z";"2023-10-15T09:00:00Z";"3.2";"4.4";"859";"3.6";"1.1";"2";"4.7";"0";"0";"0";"74.8";"272";"6.1";"9.7";"A";"A";"A";"A"
"1H";"2023-10-15T09:00:00Z";"2023-10-15T10:00:00Z";"3.6";"4.8";"1211";"3.6";"1.5";"2.8";"5.1";"0";"0";"0";"74.1";"274";"6";"10.3";"A";"A";"A";"A"
"1H";"2023-10-15T10:00:00Z";"2023-10-15T11:00:00Z";"3.6";"4.6";"1377";"5.1";"1.9";"3.6";"7";"0";"0";"0";"78";"276";"6.1";"10.4";"A";"A";"A";"A"
"1H";"2023-10-15T11:00:00Z";"2023-10-15T12:00:00Z";"3.7";"4.7";"2150";"5.3";"2.9";"5.6";"8.3";"0";"0";"0";"75.8";"279";"5.8";"10.6";"A";"A";"A";"A"
"1H";"2023-10-15T12:00:00Z";"2023-10-15T13:00:00Z";"2.9";"4.4";"1756";"4.1";"2.4";"4.6";"6.5";"0";"0";"0";"65.5";"294";"5.9";"11.5";"A";"A";"A";"A"
"1H";"2023-10-15T13:00:00Z";"2023-10-15T14:00:00Z";"2.4";"3.9";"2017";"3.3";"1.7";"3.2";"5";"0";"0";"0";"56.8";"304";"7.6";"12.2";"A";"A";"A";"A"
"1H";"2023-10-15T14:00:00Z";"2023-10-15T15:00:00Z";"2.6";"4.2";"3716";"3.3";"2.4";"4.6";"5.7";"0";"0";"0";"61.1";"299";"6.5";"11.8";"A";"A";"A";"A"
"1H";"2023-10-15T15:00:00Z";"2023-10-15T16:00:00Z";"2.7";"4.2";"4126";"5.2";"3.5";"6.6";"8.7";"0";"0";"0";"60.4";"307";"5.8";"11.6";"A";"A";"A";"A"
"1H";"2023-10-15T16:00:00Z";"2023-10-15T17:00:00Z";"3.6";"5.7";"4220";"5.7";"4.4";"8.4";"10.1";"0";"0";"0";"65.4";"302";"4.8";"10.6";"A";"A";"A";"A"
"1H";"2023-10-15T17:00:00Z";"2023-10-15T18:00:00Z";"4";"6.4";"4787";"5.7";"4.7";"9";"10.4";"0";"0";"0";"67.1";"292";"3.7";"10.2";"A";"A";"A";"A"
"1H";"2023-10-15T18:00:00Z";"2023-10-15T19:00:00Z";"3.5";"5.6";"2203";"2.6";"2.1";"4";"4.8";"0";"0";"0";"67.3";"287";"4.1";"10.1";"A";"A";"A";"A"
