StartUtc,PM2_5,PM10,NO2,Temp
1697313600,3.3,4,0.8,8.7
1697317200,3.6,4.4,0.8,8.8
1697320800,3.6,4.5,0.9,9
1697324400,3.7,4.7,0.7,9.1
1697328000,4,5.2,0.6,8.9
1697331600,4.3,5.4,0.5,8.6
1697335200,3.7,4.7,0.9,8.6
1697338800,3.4,4.2,0.9,8.5
1697342400,2.8,3.5,1.2,8.6
1697346000,2.4,2.9,1.9,8.9
1697349600,3,3.8,2.2,9.8
1697353200,3.2,4.2,2.1,10.5
1697356800,3.4,4.2,3,10.3
1697360400,2.8,3.4,3.3,9.8
1697364000,3.1,4.1,3.1,11.9
1697367600,2.4,3.6,1.8,12.4
1697371200,2.1,3.1,1.8,12.1
1697374800,2.3,3.3,2.5,11.4
1697378400,3.1,4.2,3.4,10.4
1697382000,3.5,4.7,4.6,9.9
1697385600,3.4,4.7,1.5,9.9
1697389200,3.6,5.1,1.9,9.3
1697392800,3.5,4.7,1.2,9
1697396400,3.6,4.8,1.2,8.8
1697400000,3.8,5,0.8,8.6
1697403600,3.5,4.6,0.7,8.3
1697407200,3.1,4,0.5,8.2
1697410800,3.1,4,1.3,7.4
1697414400,2.7,3.4,1.2,7.4
1697418000,2.5,3.1,3.9,7.5
1697421600,2.3,2.8,7.7,7.3
1697425200,2.6,3.4,7.7,6.9
1697428800,3.1,4.1,7.5,7.4
1697432400,3.2,5.2,6.4,8.7
1697436000,2.9,5.5,9,9.9
1697439600,2.4,4.8,5.8,10.9
1697443200,2.1,4.1,3.9,11.7
1697446800,2.1,4.4,4.9,12.2
1697450400,2.1,4.5,5.4,12.3
1697454000,2.1,4.7,3.8,11.4
1697457600,1.4,2.3,2.8,10.9
1697461200,1.7,2.8,2.7,9.8
1697464800,3.8,5.3,5.7,8.2
1697468400,9.2,10.6,12.3,7.1
1697472000,6.3,8,18.2,6.2
1697475600,5.8,7.1,11.4,5.4
1697479200,4.8,5.8,10.7,5.2
1697482800,4.1,4.9,7.4,4.6
1697486400,4.5,5.7,10.8,3.7
1697490000,3.7,4.5,5.2,3.5
1697493600,3.2,4.1,3.1,4
1697497200,3.4,4.5,4.9,3.9
1697500800,3.7,5,6,3.8
1697504400,3.8,5.2,10.1,4.5
1697508000,3.2,4.1,12.5,4.8
1697511600,3.9,4.9,20.1,5.3
1697515200,3.7,4.9,17.9,6.4
1697518800,3.8,5,11.6,8.1
1697522400,3.1,4.1,9.7,9.9
1697526000,2.6,3.7,9.4,11.7
1697529600,2,3.1,5.7,12
1697533200,2.1,4.4,6.2,12.6
1697536800,2.1,4.7,6.8,12.6
1697540400,2,3.3,10.2,12.4
1697544000,2.1,3,5.6,12.5
1697547600,3.6,5,7.3,11.6
1697551200,3.6,5.1,8.8,10.4
1697554800,4.2,5.2,10.2,9.2
1697558400,4.3,5.3,7.3,8.6
1697562000,4.2,5.3,6.6,8.1
1697565600,4,4.7,6.7,7.5
1697569200,3.7,4.4,5.2,7.3
1697572800,3.7,4.3,4,7.1
1697576400,3.3,3.8,1.9,8.3
1697580000,2.7,3.3,2,9
1697583600,2.6,3.2,1.6,9.1
1697587200,2.3,2.8,2.6,8.8
1697590800,2.5,3,5.4,8.1
1697594400,3.2,4.1,12.8,7.7
1697598000,3.9,5.4,21.8,7.2
1697601600,4.1,5.7,17.8,7.7
1697605200,4.3,6.1,20.8,9.6
1697608800,3.5,4.8,7.8,11.7
1697612400,3.8,6.6,8.5,13.5
1697616000,3.9,10.3,11.2,14.7
1697619600,3.5,8.3,17.2,15.1
1697623200,4.1,10,22.8,14.7
1697626800,3.5,7.1,15.6,14.1
1697630400,3.8,7.2,19.5,13.3
1697634000,5.3,11.1,23.8,12.8
1697637600,28.4,36.7,32.8,10.9
1697641200,15.4,21.9,37.2,9.7
1697644800,5.3,6.6,14.3,10.4
1697648400,2.8,3.4,5.2,9.3
1697652000,2.5,2.9,5.1,8.7
1697655600,1.2,1.5,3.5,8
1697659200,1,1.2,2.1,8
1697662800,1.2,1.4,2.4,8
1697666400,2.4,2.8,0.6,7.5
1697670000,2.9,3.6,0.7,7.4
1697673600,3.1,4,1.3,7.3
1697677200,2.6,3.2,3,7.3
1697680800,2.9,3.8,3.5,7.2
1697684400,3,3.9,5.4,7.5
1697688000,3.1,4.2,5,7.7
1697691600,3.9,5.5,8.4,7.8
1697695200,6.1,12,10,8
1697698800,3.5,6.2,7.7,8.1
1697702400,3.4,4,11.8,7.5
1697706000,2.8,3.6,7.7,7.5
1697709600,2.7,5.1,8.8,7.4
1697713200,2.5,5.6,3.9,7.3
1697716800,2.5,6.7,4.6,7.2
1697720400,2.7,5.5,3.2,7.1
1697724000,2.3,4.5,3.8,6.9
1697727600,2.1,4.4,3,6.6
1697731200,2.1,3.3,2,6.4
1697734800,1.7,2.2,1.7,6
1697738400,1.6,1.9,2.1,5.6
1697742000,1.9,2.3,1.9,5.4
1697745600,1.7,2.4,2,5.5
1697749200,1.6,2.2,1.6,5.4
1697752800,1.7,2,1.5,5.2
1697756400,1.7,2,1.6,5.1
1697760000,1.9,2.3,1.1,5.3
1697763600,2.1,2.9,3.2,5.3
1697767200,2.2,3.6,4.4,5.1
1697770800,2.2,3.9,7.6,4.8
1697774400,2.3,2.9,7.5,4.7
1697778000,2.6,5.4,5.2,5.2
1697781600,7.4,13.6,8.6,5.8
1697785200,3.8,6.6,4.9,6
1697788800,3.9,6.7,2.1,6.6
1697792400,4.4,10.2,2.7,7.3
1697796000,4.2,9.9,3.6,7.1
1697799600,4.8,11.5,2.5,6.9
1697803200,4.5,11.4,3.1,6.8
1697806800,4.1,12,2,6.6
1697810400,4.2,10.4,2.3,6.7
1697814000,4.4,10.1,1.7,6.9
1697817600,4.5,7.3,1.2,6.5
1697821200,4.5,5.5,1.2,6
1697824800,4.3,4.8,1.5,5.7
1697828400,3.4,3.8,1.4,6
1697832000,2.5,2.8,1.1,6.1
1697835600,1.8,2,0.9,6.2
1697839200,1.7,1.9,0.8,6.3
1697842800,1.6,1.7,0.6,6.5
1697846400,1.5,1.7,0.9,6.9
1697850000,1.1,1.2,1,7.5
1697853600,0.6,0.6,2,8.1
1697857200,0.8,0.9,2.7,8.2
1697860800,0.9,1,2.9,8.3
1697864400,1,1.1,4.5,8.5
1697868000,1.2,1.4,6.1,8.4
1697871600,4.9,5.3,5.8,8.8
1697875200,2.3,2.5,4.6,9.1
1697878800,3,3.3,4.2,9.2
1697882400,2.5,2.8,6.9,9.5
1697886000,3.4,3.7,6.9,9.5
1697889600,4.1,4.5,7.4,9.7
1697893200,5.8,6.4,9.6,9.4
1697896800,6.3,6.7,10.6,9.1
1697900400,6,6.4,5.8,9.2
1697904000,6.1,6.5,7.4,9.3
1697907600,7.2,7.6,6.9,9.1
1697911200,6.8,7.2,7.1,9.1
1697914800,8.2,8.7,6.8,9.3
1697918400,12.6,13.8,5.6,9.6
1697922000,17.3,19.6,9,10.1
