StartUtc,PM2_5,PM10,NO2,Temp
1697313600,3.7,4.6,1.5,9
1697317200,3.7,4.8,0.5,9.3
1697320800,3.7,4.8,0.3,9.2
1697324400,3.8,4.9,0.2,9.2
1697328000,4,5.2,0.1,9
1697331600,4.4,6,0.3,8.8
1697335200,3.8,5.3,0.5,8.8
1697338800,3.3,4.4,0.7,8.9
1697342400,2.8,3.6,0.9,8.9
1697346000,2.8,3.6,1.2,9.1
1697349600,3.2,4.4,1.1,9.7
1697353200,3.6,4.8,1.5,10.3
1697356800,3.6,4.6,1.9,10.4
1697360400,3.7,4.7,2.9,10.6
1697364000,2.9,4.4,2.4,11.5
1697367600,2.4,3.9,1.7,12.2
1697371200,2.6,4.2,2.4,11.8
1697374800,2.7,4.2,3.5,11.6
1697378400,3.6,5.7,4.4,10.6
1697382000,4,6.4,4.7,10.2
1697385600,3.5,5.6,2.1,10.1
1697389200,3.9,6.2,1.9,9.7
1697392800,4.3,6.7,1.9,9.4
1697396400,4.2,6.4,1.6,9
1697400000,4.4,6.3,1.4,8.8
1697403600,4.2,6.1,1.1,8.5
1697407200,3.5,4.7,1.4,8.2
1697410800,3.1,4.2,1.3,7.8
1697414400,3.1,4.2,1.7,7.5
1697418000,3.1,4.2,3.8,7.1
1697421600,3.3,4.7,9.4,6.8
1697425200,3.5,5,12.1,6.6
1697428800,4.5,6.5,12.3,6.5
1697432400,3.9,5.6,9.1,7.7
1697436000,2.5,4.1,3.9,9.1
1697439600,2.3,3.8,4.2,9.8
1697443200,2,3.6,3.3,10.4
1697446800,1.9,3.8,3.3,11
1697450400,1.9,3.8,4.4,10.9
1697454000,1.8,3.2,4.6,10.8
1697457600,1.7,3,4.8,10.7
1697461200,2,3.4,6.2,10
1697464800,4.4,6.6,11,8.7
1697468400,7,9.3,10.8,7.5
1697472000,6.5,8.3,10.1,6.6
1697475600,9.8,12.4,12.8,5.6
1697479200,10.1,12.6,12.2,5.2
1697482800,8.8,10.7,12.6,4.5
1697486400,6.9,8.4,9.7,3.8
1697490000,5.5,7.2,6.7,3.3
1697493600,4.4,5.8,6,3.3
1697497200,3.8,5,6.2,3.4
1697500800,3.7,4.8,5.2,3.8
1697504400,4.5,6.3,6.3,4.4
1697508000,5.1,7.3,4.3,4.4
1697511600,5.4,7.7,9.3,5.2
1697515200,5,7.2,12.5,6.5
1697518800,5,6.9,9.4,7.7
1697522400,4,5.5,7.2,9.4
1697526000,2.6,3.4,4.6,10.8
1697529600,2.7,4,3.3,11.3
1697533200,2.3,3.7,3.2,12
1697536800,2.1,3.7,4.4,12.4
1697540400,2.1,3.7,4.2,12.3
1697544000,2.5,4.3,5.2,12.2
1697547600,3.3,5,6.3,11.5
1697551200,4.2,6.4,7.7,10.6
1697554800,4.8,6.7,8.8,9.9
1697558400,4.7,6,7.5,9.2
1697562000,4.8,5.9,5.4,8.7
1697565600,4.7,5.7,5.9,8.3
1697569200,4.4,5.3,0,7.8
1697572800,4.2,4.9,0,7.7
1697576400,3.3,4,0,8.6
1697580000,3,3.7,1.4,8.9
1697583600,2.8,3.5,1.4,9
1697587200,2.5,3.1,1.6,9.2
1697590800,2.9,3.7,4.3,8.8
1697594400,3.6,5,10.4,8.4
1697598000,4.1,5.7,11.9,7.9
1697601600,5.1,7.5,12.5,8
1697605200,4.3,6,9.9,9.1
1697608800,3.7,5,5.6,10.4
1697612400,3.2,4.6,4.7,11.8
1697616000,2.7,4.4,3.8,12.6
1697619600,3,5.9,3.8,13
1697623200,3.4,7.4,4.2,13.5
1697626800,2.7,5,2.5,13.3
1697630400,2.8,6,8.4,13
1697634000,4.3,9,18.6,12.4
1697637600,11.5,19.7,17.1,10.9
1697641200,12.2,17.5,16.1,10.3
1697644800,3.5,4.9,9.1,10.8
1697648400,3.3,4.1,3.1,9.5
1697652000,2.5,3.1,3,8.7
1697655600,1.6,2.1,3.3,8.2
1697659200,1.1,1.3,4.2,8.2
1697662800,1.3,1.6,1.5,8.2
1697666400,2.6,3,0.8,7.8
1697670000,2.9,3.4,1,7.5
1697673600,3.1,3.6,0.9,7.4
1697677200,2.9,3.5,0.9,7.1
1697680800,3.2,4.1,2.5,7.1
1697684400,3.2,4.1,2.8,7.3
1697688000,3.3,4.2,3.5,7.6
1697691600,3.8,5,4.6,7.5
1697695200,3.6,5,2.4,7.7
1697698800,2.9,3.8,1.9,7.8
1697702400,2.7,3.3,3.4,6.9
1697706000,2.4,3.1,2.1,7.3
1697709600,2.4,4.3,2.1,7.4
1697713200,2.3,4.7,2.7,7.3
1697716800,2.1,5.2,1,7.4
1697720400,1.7,3.7,1.5,7.2
1697724000,1.7,3.1,1.8,6.9
1697727600,1.7,2.7,1.4,6.6
1697731200,1.8,2.3,1.3,6.4
1697734800,1.6,2.4,1.1,6.1
1697738400,1.6,2,1.2,5.8
1697742000,1.9,2.4,0.9,5.5
1697745600,1.7,2.3,0.8,5.5
1697749200,1.6,2,0.6,5.3
1697752800,1.6,1.9,0.6,5.2
1697756400,1.6,2,0.6,5.2
1697760000,1.8,2.2,0.6,5.3
1697763600,2,2.3,1,5.3
1697767200,2.1,3.2,1.8,5.2
1697770800,2.3,4.6,1.7,4.9
1697774400,2.5,3.5,1.9,4.8
1697778000,2.5,4.3,1.4,5.2
1697781600,3,5.3,1.7,5.9
1697785200,3.4,5.2,1.7,6
1697788800,3.7,6,1.9,6.7
1697792400,4.4,9,1.7,7.3
1697796000,4.2,9.7,1.3,7.2
1697799600,5.1,12.1,2.7,7.1
1697803200,5.5,13.2,2.4,6.9
1697806800,3.9,9.1,1.9,6.8
1697810400,3.7,6.9,1.4,6.7
1697814000,4.5,9.2,1.2,6.8
1697817600,4.7,7.3,1.3,6.7
1697821200,5,5.9,1.5,6.1
